iter	Passed	Remaining
695	8452	3691
696	8467	3680
697	8482	3669
698	8496	3658
699	8511	3647
700	8526	3636
701	8541	3625
702	8557	3615
703	8571	3604
704	8582	3591
705	8593	3578
706	8606	3566
707	8617	3554
708	8628	3541
709	8637	3528
710	8647	3514
711	8665	3505
712	8681	3494
713	8696	3483
714	8711	3472
715	8724	3460
716	8738	3449
717	8750	3436
718	8762	3424
719	8778	3413
720	8800	3405
721	8821	3396
722	8830	3383
723	8843	3371
724	8858	3360
725	8870	3347
726	8880	3334
727	8891	3321
728	8903	3309
729	8918	3298
730	8936	3288
731	8946	3275
732	8958	3263
733	8968	3250
734	8983	3238
735	8994	3226
736	9004	3213
737	9013	3199
738	9024	3187
739	9035	3174
740	9047	3162
741	9057	3149
742	9068	3136
743	9078	3123
744	9089	3111
745	9102	3099
746	9117	3087
747	9131	3076
748	9146	3065
749	9161	3053
750	9176	3042
751	9196	3033
752	9208	3020
753	9222	3008
754	9235	2996
755	9247	2984
756	9260	2972
757	9270	2959
758	9307	2955
759	9330	2946
760	9348	2936
761	9363	2924
762	9378	2913
763	9394	2902
764	9411	2891
765	9421	2878
766	9432	2865
767	9442	2852
768	9451	2838
769	9460	2825
770	9470	2812
771	9480	2799
772	9492	2787
773	9503	2775
774	9513	2762
775	9524	2749
776	9534	2736
777	9544	2723
778	9555	2710
779	9567	2698
780	9577	2685
781	9587	2672
782	9603	2661
783	9613	2648
784	9623	2635
785	9635	2623
786	9645	2610
787	9656	2598
788	9667	2585
789	9677	2572
790	9689	2560
791	9701	2547
792	9710	2534
793	9721	2522
794	9734	2510
795	9743	2497
796	9754	2484
797	9764	2471
798	9774	2458
799	9783	2445
800	9794	2433
801	9806	2421
802	9817	2408
803	9827	2395
804	9837	2382
805	9846	2370
806	9856	2357
807	9866	2344
808	9875	2331
809	9885	2318
810	9896	2306
811	9905	2293
812	9915	2280
813	9924	2267
814	9933	2254
815	9942	2242
816	9954	2229
817	9966	2217
818	9978	2205
819	9992	2193
820	10006	2181
821	10021	2170
822	10031	2157
823	10045	2145
824	10057	2133
825	10069	2121
826	10083	2109
827	10095	2097
828	10107	2084
829	10118	2072
830	10131	2060
831	10142	2047
832	10152	2035
833	10164	2023
834	10179	2011
835	10191	1999
836	10207	1987
837	10221	1975
838	10231	1963
839	10250	1952
840	10274	1942
841	10295	1931
842	10307	1919
843	10317	1906
844	10326	1894
845	10337	1881
846	10355	1870
847	10367	1858
848	10378	1845
849	10388	1833
850	10400	1821
851	10417	1809
852	10431	1797
853	10441	1785
854	10452	1772
855	10462	1760
856	10473	1747
857	10483	1735
858	10494	1722
859	10504	1710
860	10515	1697
861	10524	1684
862	10536	1672
863	10548	1660
864	10559	1648
865	10569	1635
866	10580	1623
867	10593	1610
868	10606	1598
869	10621	1587
870	10638	1575
871	10658	1564
872	10676	1553
873	10694	1541
874	10718	1531
875	10739	1520
876	10760	1509
877	10775	1497
878	10784	1484
879	10794	1471
880	10817	1461
881	10831	1449
882	10848	1437
883	10871	1426
884	10882	1414
885	10895	1401
886	10905	1389
887	10916	1376
888	10929	1364
889	10942	1352
890	10954	1340
891	10964	1327
892	10975	1315
893	10986	1302
894	10997	1290
895	11007	1277
896	11019	1265
897	11031	1253
898	11049	1241
899	11058	1228
900	11068	1216
901	11078	1203
902	11091	1191
903	11105	1179
904	11116	1166
905	11131	1154
906	11147	1142
907	11163	1131
908	11177	1118
909	11191	1106
910	11203	1094
911	11217	1082
912	11233	1070
913	11248	1058
914	11263	1046
915	11276	1034
916	11290	1021
917	11304	1009
918	11319	997
919	11335	985
920	11349	973
921	11364	961
922	11378	949
923	11393	937
924	11404	924
925	11418	912
926	11432	900
927	11451	888
928	11467	876
929	11483	864
930	11498	852
931	11513	840
932	11527	827
933	11539	815
934	11549	802
935	11560	790
936	11572	778
937	11584	765
938	11595	753
939	11607	740
940	11619	728
941	11639	716
942	11668	705
943	11681	692
944	11692	680
945	11704	668
946	11715	655
947	11726	643
948	11737	630
949	11748	618
950	11757	605
951	11771	593
952	11792	581
953	11804	569
954	11814	556
955	11823	544
956	11834	531
957	11847	519
958	11858	506
959	11871	494
960	11882	482
961	11900	470
962	11910	457
963	11920	445
964	11931	432
965	11941	420
966	11952	407
967	11963	395
968	11973	383
969	11982	370
970	11991	358
971	12002	345
972	12011	333
973	12023	320
974	12038	308
975	12055	296
976	12070	284
977	12085	271
978	12098	259
979	12111	247
980	12127	234
981	12141	222
982	12157	210
983	12172	197
984	12186	185
985	12201	173
986	12212	160
987	12226	148
988	12241	136
989	12253	123
990	12268	111
991	12279	99
992	12289	86
993	12300	74
994	12314	61
